id,product_name,category,price,stock,description,after_sale_policy
1,星云 X1 智能手机 128G,手机,2999.00,80,6.5英寸OLED屏，5000mAh电池，支持5G网络,支持7天无理由退货，15天质量问题换货
2,星云 X1 Pro 智能手机 256G,手机,3999.00,55,旗舰影像芯片，120Hz高刷屏，支持快充,支持7天无理由退货，15天质量问题换货
3,青岚 M8 折叠屏手机,手机,6999.00,23,轻薄折叠设计，内外双屏，多任务分屏,拆封激活后非质量问题不支持7天无理由退货
4,极光 S5 拍照手机,手机,2499.00,68,6400万主摄，夜景模式，适合日常拍摄,支持7天无理由退货，15天质量问题换货
5,澜海 Note 12 大屏手机,手机,1899.00,95,7英寸大屏，长续航，双扬声器,支持7天无理由退货，15天质量问题换货
6,聆风 Air 真无线耳机,耳机,399.00,160,主动降噪，单次续航8小时，蓝牙5.3,耳机类商品拆封后非质量问题不支持7天无理由退货
7,聆风 Pro 降噪耳机,耳机,799.00,88,混合主动降噪，通透模式，低延迟游戏模式,质量问题15天换货，保修期12个月
8,声界 H2 头戴式耳机,耳机,599.00,74,包耳式设计，40mm动圈单元，适合办公学习,支持7天无理由退货，需保持包装及配件完整
9,酷听 C1 运动蓝牙耳机,耳机,299.00,130,IPX5防水，挂耳式设计，适合运动场景,质量问题15天换货，保修期12个月
10,声麦 USB 会议耳麦,耳机,199.00,210,USB即插即用，降噪麦克风，适合网课会议,支持7天无理由退货，质量问题15天换货
11,逐光 Book 14 笔记本,笔记本,4999.00,42,14英寸轻薄本，16G内存，512G固态硬盘,支持7天无理由退货，质量问题15天换货
12,逐光 Book Pro 16 笔记本,笔记本,6999.00,35,16英寸高色域屏，32G内存，1T固态硬盘,激活系统后非质量问题不支持7天无理由退货
13,战锋 G15 游戏笔记本,笔记本,7999.00,28,高性能独显，165Hz电竞屏，RGB键盘,支持7天无理由退货，需保持外观及配件完整
14,灵越 Edu 13 学习笔记本,笔记本,3699.00,64,轻薄便携，适合学生学习与办公,支持7天无理由退货，质量问题15天换货
15,创影 Studio 17 移动工作站,笔记本,9999.00,18,专业图形显卡，适合设计与视频剪辑,高价值商品签收后需保留完整包装，质量问题按售后流程处理
16,净风 K3 空气净化器,家电,1299.00,70,适用40平方米空间，支持PM2.5实时显示,支持7天无理由退货，滤芯拆封后不支持单独退换
17,暖阳 Mini 取暖器,家电,299.00,115,小型桌面取暖器，倾倒断电保护,支持7天无理由退货，质量问题15天换货
18,清泉 S1 即热饮水机,家电,899.00,52,三秒速热，多档水温，童锁保护,水箱使用后非质量问题不支持7天无理由退货
19,智洁 R2 扫地机器人,家电,1999.00,46,激光导航，扫拖一体，自动回充,支持7天无理由退货，耗材需保持未使用状态
20,风语 F8 智能电风扇,家电,399.00,100,智能遥控，9档风速，低噪运行,支持7天无理由退货，质量问题15天换货
21,迅捷 K87 机械键盘,配件,299.00,150,87键布局，热插拔轴体，白色背光,支持7天无理由退货，质量问题15天换货
22,迅捷 K104 全尺寸键盘,配件,199.00,180,104键全尺寸布局，静音薄膜按键,支持7天无理由退货，质量问题15天换货
23,猎影 M5 无线鼠标,配件,159.00,230,双模连接，轻量化设计，适合办公和游戏,支持7天无理由退货，质量问题15天换货
24,灵动 M2 办公鼠标,配件,69.00,320,人体工学设计，静音按键，USB接收器连接,支持7天无理由退货，质量问题15天换货
25,云纹 XL 加厚鼠标垫,配件,49.00,400,900x400mm大尺寸，锁边工艺，防滑橡胶底,未使用且包装完整支持7天无理由退货
